geneID	geneName
RGD:1308346	Cyld
RGD:2401	Crebbp
RGD:1305968	Chmp5
RGD:1305969	Vps4b
RGD:1308301	Nle1
RGD:1311894	Tpx2
RGD:1311886	Kif22
RGD:1311875	Cdc25c
RGD:1311869	Smarcd3
RGD:620462	Pim3
RGD:1563279	Sbk2
RGD:1563235	Ccsap
RGD:2917	Insr
RGD:2916	Ins2
RGD:1305446	Trrap
RGD:2909	Kpnb1
RGD:1308810	Blm
RGD:1308809	Btg4
RGD:1308801	Nek11
RGD:1305476	Mki67
RGD:1303240	Knstrn
RGD:2891	Il1b
RGD:2890	Il1a
RGD:2870	Igf2
RGD:2869	Igf1r
RGD:2868	Igf1
RGD:2859	Id2
RGD:1308779	Chmp7
RGD:1308777	Numa1
RGD:1308759	Mau2
RGD:2827	Hras
RGD:1305544	Cdk14
RGD:2807	Foxa1
RGD:1305558	Ttk
RGD:621309	Rhob
RGD:1308714	Trim36
RGD:1305576	Setd2
RGD:1303182	Dctn2
RGD:1303178	Nanog
RGD:620003	Rgs14
RGD:620013	Ppp1r12a
RGD:631428	Id4
RGD:620133	Cib1
RGD:631412	E2f6
RGD:1303019	Rpl17
RGD:620182	Nup88
RGD:620190	Becn1
RGD:1563568	Stk26
RGD:1563556	Cep126
RGD:621191	Rpl24
RGD:1308596	Kif23
RGD:61995	Pten
RGD:1308542	Sirt1
RGD:1308541	Ticrr
RGD:2619	Foxg1
RGD:61953	Pak2
RGD:1308524	Ect2
RGD:1308516	Trip13
RGD:1305764	Nusap1
RGD:1308503	Rbm38
RGD:620200	Acvr1
RGD:620203	Phb2
RGD:1585874	Mbd4
RGD:1565325	Chmp6
RGD:1565315	Naa10
RGD:2953	Kcna5
RGD:1595860	Ezh2
RGD:1595865	Pcnt
RGD:621766	Dapk3
RGD:621730	Spdya
RGD:621725	Hspa8
RGD:1597152	Zc3h12d
RGD:1565298	LOC499219
RGD:621270	Arf1
RGD:621280	Map4k3
RGD:621285	Anp32b
RGD:621643	Stk39
RGD:621640	Dmrt1
RGD:621625	Aurkb
RGD:1565179	Dsn1
RGD:1565350	Shb
RGD:621592	Syf2
RGD:621590	Taok2
RGD:1595396	Rps27l
RGD:620237	Ppat
RGD:620282	Golga2
RGD:1308497	Kif20b
RGD:1308474	Mybl2
RGD:61896	Nme6
RGD:61888	Map2k2
RGD:1585097	Ppp2r5c
RGD:1305876	Sirt7
RGD:1585037	Psrc1
RGD:1311957	Mus81
RGD:1311947	Npat
RGD:61312	Timp2
RGD:1595512	Rprm
RGD:1595507	Hacd1
RGD:1563607	Cenpa
RGD:1563603	Rad51
RGD:1308644	Map10
RGD:1305648	Fbxo7
RGD:1310354	Usp22
RGD:1303085	Nop53
RGD:2319938	Rad9a
RGD:1303061	Cenpc
RGD:1303060	Hyal1
RGD:631441	Ppp2r2b
RGD:2325	Cdkn2c
RGD:2319	Cdk1
RGD:68384	Ccnd1
RGD:1308223	Rad9b
RGD:1308216	Usp44
RGD:1308213	Pbx1
RGD:68359	Pttg1
RGD:68357	Pdcd6ip
RGD:1311792	Pidd1
RGD:1310729	Spice1
RGD:1311784	Rptor
RGD:2319564	Setdb2
RGD:1311766	Cdc73
RGD:1311755	Ctdp1
RGD:7649594	Dbf4b
RGD:1311707	Bub1
RGD:1308982	Prkdc
RGD:1308918	Abraxas2
RGD:1308913	Zfp36l2
RGD:1305369	Nkx3-1
RGD:71072	Dync1li1
RGD:1565055	Scrib
RGD:1565043	Arhgef10
RGD:1565023	Ecd
RGD:1565004	Poc1a
RGD:1303336	Dnmt3a
RGD:1303329	Ush1c
RGD:1303321	Ier3
RGD:1563853	Cul4a
RGD:2992	Stmn1
RGD:1308893	Dcun1d3
RGD:1308872	Rbbp8
RGD:1308852	Usp3
RGD:2927	Itgb1
RGD:1563746	Meioc
RGD:1563765	Rad51c
RGD:1565523	Lsm11
RGD:1565519	Prmt2
RGD:1587197	Wee2
RGD:619921	Rhoa
RGD:70929	Dgkz
RGD:3430	Psme2
RGD:628671	Zwint
RGD:628667	Cenpf
RGD:1590629	Sapcd2
RGD:628604	Cdk11b
RGD:1587048	Cul7
RGD:621889	Ddb1
RGD:621862	Atf2
RGD:1305243	Rfwd3
RGD:1305227	Smc2
RGD:1590928	Cdc45
RGD:1590924	Wapl
RGD:727809	Stk25
RGD:1587376	Miip
